"Plot_ID","Latitude","Longitude","Elevation","Category7","Category10","AcousticDiversity","AcousticEveness","BioAcoustic","SoundscapeSaturation","EntropyOfVarianceSpectrum","AcousticComplexity","TemporalEntropy","EventsPerSecond","TD_q0_Axis1","TD_q1_Axis1","TD_q2_Axis1","FD_q0_Axis1","FD_q1_Axis1","FD_q2_Axis1","PD_q0_Axis1","PD_q1_Axis1","PD_q2_Axis1"
"PA54",0.53693,-79.18835,207,"Pasture","F_Past",5.2011244,0.441549868,205.2929995,0.649306524,0.371340712,0.469940536,0.118025672,1.067801339,-0.310422269871658,-0.317053428326804,-0.382447653716679,-0.0496130383220868,-0.0656350137617309,-0.0924821054015795,-0.236181762695009,-0.151492466091172,-0.251978338042774
"OG42",0.538493693,-79.17462629,374,"Oldgrowth","F_Old",5.227881122,0.414358335,149.3915319,0.619945708,0.519090491,0.438306554,0.072025721,0.835193452,0.356241217625849,0.259567472154745,0.262798713802871,0.0401107493071631,0.0446787803059348,0.0476721620714187,0.220292950967003,0.0939982191069337,0.156346638890751
"CA62",0.511048995,-79.212168,372,"Cacao","F_Caca",5.150530162,0.461055468,150.3710391,0.594220843,0.496989101,0.442722132,0.109876027,1.432955109,-0.200313381485556,-0.197606983353821,-0.221164416154773,-0.0440266608818407,-0.04685728975806,-0.0632249130437277,-0.15993238868003,-0.0676122007787627,-0.145079667040505
"CA63",0.544072017,-79.14537496,240,"Cacao","F_Caca",5.168242985,0.445852399,135.8824312,0.569241478,0.438832349,0.439515553,0.102534624,0.962441096,-0.0138804022406347,0.008937679641187,0.0193917846152317,0.0222891315481781,0.0122315440929501,0.00857551196461265,0.00762799330283647,0.0665316234045339,-0.0211937098153312
"OG38",0.513161989,-79.19323403,535,"Oldgrowth","F_Old",5.304938353,0.362065888,154.276822,0.77902803,0.4837593,0.446315893,0.092894711,1.177083333,0.234661259189716,0.263282894185618,0.294012920866214,0.0262096151799937,0.0385854280598885,0.0436200473003334,0.167093148649959,0.0949280778786683,0.230834652569652
"CR05",0.51179071,-79.20359239,377,"C_Reg_I","F_CReg1",5.198613161,0.42464034,172.0798396,0.651794434,0.462477192,0.451602855,0.07840845,0.840085565,-0.0157373497887875,-0.038642069691019,-0.092723249973906,-0.00696285037521944,-0.0114762748800345,-0.0264417634689819,-0.00427430607257112,0.0554120799833018,-0.0634767155960327
"PR24",0.52084065,-79.21367372,381,"P_Reg_I","F_PReg1",5.193515442,0.434180245,149.5525449,0.707151867,0.51601214,0.441593359,0.039055222,0.808851066,0.010145710004699,0.0142547738626332,-0.000329575006507697,-0.00834212281658283,0.00934081293564936,0.00633135324678713,-0.0615969022695985,0.0109242973364432,0.0256150340174327
"PR19",0.552738821,-79.17480114,177,"P_Reg_I","F_PReg1",5.187240595,0.438864854,127.8139602,0.507282075,0.394380832,0.434525724,0.089653323,0.269763765,0.0502409000216246,0.0374538628009165,0.0234888022361641,0.00336588815613153,0.00280947549317605,0.000538268722752231,0.0398085274685505,0.0909833027363463,0.0136114928759204
"OG50",0.534413969,-79.14397401,316,"Oldgrowth","F_Old",5.221015377,0.418963257,103.1703273,0.570337205,0.500531417,0.424685867,0.054742724,0.544546751,0.379684440543675,0.340788792369838,0.37004760993544,0.0605762609851221,0.0577805756957623,0.0719461110345113,0.299147082027908,0.0722715522391304,0.217302983317958
"OG40",0.527762929,-79.1723843,531,"Oldgrowth","F_Old",5.156335586,0.458524232,166.4813854,0.577218192,0.501852987,0.446479064,0.169636285,0.866356647,0.414634106749635,0.408388996059261,0.380923723535857,0.0765910991614472,0.0551686724074885,0.0729536335315082,0.325938161334602,0.024806909834997,0.278298838548533
"APN1",0.557148,-79.183566,128,"Pasture","F_Past",5.211031432,0.433954051,229.8510095,0.709738595,0.405982081,0.47026721,0.102965217,1.385432168,-0.272028958418247,-0.342653253792718,-0.403608182819233,-0.0752266090155403,-0.104187213398414,-0.136931635774,-0.16843496492387,-0.173147429788451,-0.284314014157461
"PR22",0.509381583,-79.20450795,400,"P_Reg_I","F_PReg1",5.150851992,0.457745546,168.1071082,0.567390079,0.468727032,0.442501864,0.069467666,0.623728919,-0.0714918720600216,-0.0843735490884238,-0.110131754629947,-0.00857845046255315,-0.0144147881630169,-0.0284365104970625,-0.0903581186884061,0.00125700973297826,-0.0904202639843169
"OG45",0.477782981,-79.20370404,362,"Oldgrowth","F_Old",5.298702873,0.373659561,135.7379173,0.767057873,0.475339904,0.443354351,0.058915975,0.832567584,0.327499142626059,0.310118861416433,0.291125641359226,0.0358431284152732,0.0458356777663458,0.0484543793095147,0.231405402977414,0.0888593616018103,0.229923519457535
"OG48",0.531208981,-79.14474397,299,"Oldgrowth","F_Old",5.275542023,0.390609265,146.1718517,0.713017055,0.565418614,0.43219107,0.048228408,0.681358507,0.360761595137375,0.302621901217485,0.325798992364595,0.0692378417214196,0.0487765126528845,0.0545272619564256,0.271905265407512,0.0891436047706947,0.205365038755057
"PR27",0.46173,-79.20934,214,"P_Reg_II","F_PReg2",5.185223319,0.439204894,130.7973412,0.593232654,0.444268884,0.440122062,0.087934613,0.558066716,0.0760432408482426,0.0854440988196479,0.0680835946722061,0.0157826119913085,0.0134342275268622,0.00439399871086142,0.0500324418423698,0.140381771592893,0.0225198219110557
"PR21WUE",0.502809,-79.187005,563,"P_Reg_II","F_PReg2",5.309019469,0.362079797,155.2010581,0.796257382,0.503046678,0.447493755,0.099848421,0.885112847,0.233666019256129,0.224314706552332,0.200840769265411,0.0530796833636219,0.0425308430115112,0.0508160122944944,0.195730135786544,0.021349987627786,0.251807353990762
"PR32",0.479219975,-79.21736,339,"P_Reg_II","F_PReg2",5.247150708,0.403766847,218.3541984,0.754169282,0.378506722,0.439967843,0.092944656,0.419608755,0.147606139493323,0.116595437829226,0.110445718240385,0.0254540155198489,0.0245620063810531,0.0237800584409694,0.158536823785965,0.129469542807898,0.0812957970802267
"CR01",0.496584764,-79.17814275,560,"C_Reg_I","F_CReg1",5.25537881,0.38091875,190.9141566,0.727523077,0.441482614,0.458099271,0.079964851,0.81063058,-0.138009277975233,-0.0759645748125992,-0.0464122425612418,-0.0234691120142332,-0.00801102580118392,-0.00956184470003099,-0.0548776576322471,0.0580456015787751,-0.00333193670430162
"CR07",0.458986899,-79.2087108,168,"C_Reg_II","F_CReg2",5.229147122,0.408393671,218.0198311,0.68485805,0.50244404,0.449163787,0.068113753,0.870659722,0.00540124136540076,0.00440922767083505,-0.00057805934688708,0.00642888493879752,9.86913078328171e-05,-0.00769888043857431,0.019499635101335,0.0960329467086547,-0.0178213579566114
"PR21",0.508066043,-79.18989812,560,"P_Reg_II","F_PReg2",5.310674655,0.35758604,170.6067453,0.805106027,0.472383114,0.459464909,0.090557471,1.011728051,0.114666176036091,0.129756220957469,0.181621416108364,0.00848999171498951,0.0246792007621211,0.0361935825347487,0.106402930128523,0.157154830799354,0.165590407368353
"CA61",0.534000993,-79.18769603,293,"Cacao","F_Caca",5.186626934,0.439231257,167.3254395,0.600571405,0.444795715,0.443745881,0.07661134,0.624091642,-0.129680174717394,-0.13049775728632,-0.162563395384042,-0.0368548409282762,-0.0361565604776115,-0.0523848046387689,-0.0843490150337206,-0.0254000032426932,-0.11524495932581
"CR06",0.520721963,-79.21059304,397,"C_Reg_I","F_CReg1",5.251310805,0.399778989,172.7290443,0.713155111,0.506811087,0.446486423,0.085560663,0.938696677,-0.00129232396509568,0.0748251483144642,0.116121528443706,0.0192749672530956,0.038239605788168,0.0634185830643508,0.0463279503368518,0.0678337440429413,0.113799104281962
"OG43",0.464510573,-79.2100058,238,"Oldgrowth","F_Old",5.209086863,0.425945834,148.0904716,0.674185617,0.509635985,0.43941041,0.057023259,0.710503472,0.205795376129729,0.226094184712005,0.250217322699404,0.0279556596635371,0.0315359499607891,0.0368709871447961,0.111943700732718,0.1131333902644,0.0818889053390096
"CA64",0.543443961,-79.15454602,256,"Cacao","F_Caca",5.186983454,0.446029293,196.9388703,0.62528919,0.401341359,0.46271404,0.123657123,0.979123264,-0.184713078740582,-0.211514333460055,-0.26433677952948,-0.0436196925148516,-0.0460767170785042,-0.0711921114137087,-0.152611664703352,-0.0943506317946986,-0.19375030392741
"APN2",0.551181,-79.194413,151,"Pasture","F_Past",5.276300433,0.381185321,205.5426073,0.779247466,0.480129297,0.455847937,0.114967093,1.58500744,-0.344884443157649,-0.370460753917853,-0.407698511033754,-0.0781913090198467,-0.094860760012739,-0.120841467615908,-0.272255661482625,-0.19421769725022,-0.277579061182616
"OG37",0.498206494,-79.1791925,550,"Oldgrowth","F_Old",5.296239611,0.366910279,132.5352528,0.710800898,0.445898204,0.448714499,0.15132733,0.677675471,0.384174342249803,0.380534950560778,0.398308955570499,0.0748083105841364,0.0612939849456039,0.0825593474684524,0.391583414908173,0.0735683493903719,0.219360658153116
"CR12",0.479973005,-79.21434,400,"C_Reg_I","F_CReg1",5.267075011,0.382323549,166.1457609,0.732981364,0.505381573,0.457729766,0.091075129,1.14078621,0.0507160058898536,0.0889847314941807,0.144738800879652,0.0448775648141569,0.0354636218960329,0.0486234390335861,0.108843400822282,0.0284210512760703,0.0936979417795662
"CR08",0.45927,-79.21077,172,"C_Reg_II","F_CReg2",5.216022645,0.421283379,156.337092,0.64722261,0.521028311,0.440412576,0.053177691,0.60094246,0.160054608089547,0.13033564740865,0.119388519777494,0.0421292575398346,0.0249215599029449,0.0154464627418269,0.143391879560732,0.120247976306528,0.0570834998133598
"CR11",0.477901585,-79.20506568,372,"C_Reg_II","F_CReg2",5.311363512,0.36262013,139.9038484,0.779577346,0.514035329,0.439188949,0.064180594,1.145110987,0.150424863993696,0.168496937347328,0.184123427388441,0.0474420103965251,0.0357760058904591,0.0396830703925457,0.155754069245816,0.129116029816237,0.087069015840699
"OG11_old",0.488081,-79.218927,514,"Oldgrowth","F_Old",5.259063104,0.396016643,157.421359,0.729945592,0.387105439,0.462085818,0.119718325,0.958736359,0.412167145568261,0.369932031214782,0.356061305409124,0.0580354405325112,0.0720210731654551,0.0811067511420593,0.248080913421719,0.0541050083526263,0.287315848414583
"OG46",0.478052963,-79.19470296,260,"Oldgrowth","F_Old",5.216489097,0.413901647,75.0630893,0.633507138,0.414911958,0.433836835,0.047714872,0.425914559,0.496509783668661,0.421979246214643,0.416504261594537,0.0951549871188876,0.10561093846061,0.169294060331648,0.377002428207322,-0.0798035917081772,0.368867304970104
"PR31",0.479071783,-79.21007127,316,"P_Reg_II","F_PReg2",5.282917291,0.380057292,107.8837022,0.700872512,0.48310586,0.435325875,0.053195171,0.764366319,0.109591700973731,0.0997302619569409,0.129823103024068,0.0276070830197198,0.0264020884685656,0.037580090700334,0.0979855611196397,0.0970191584461137,0.0807699875190014
"PA58",0.543056,-79.153322,243,"Pasture","F_Past",5.139171504,0.471175208,153.7126313,0.530861991,0.410564912,0.450750342,0.140691198,0.834920635,-0.26870055918443,-0.236393922047891,-0.253015241052593,-0.0476357300074497,-0.0514155067038699,-0.0727237082644721,-0.178591565884031,-0.0994897260111476,-0.179230168375634
"OG47",0.483218981,-79.21519504,450,"Oldgrowth","F_Old",5.270878795,0.388267886,92.95323134,0.689740862,0.456037179,0.436519237,0.052235332,0.617447917,0.362683660247844,0.315668076198706,0.352634878612658,0.054548345844784,0.0657870440427534,0.0767949089035165,0.222110879344369,0.105789620494018,0.198128786283716
"PR28",0.46443304,-79.21261308,224,"P_Reg_I","F_PReg1",5.116311173,0.483864704,127.1447545,0.493966239,0.467985961,0.431523411,0.088608162,0.440445188,0.14630906302495,0.155269728805257,0.178648412229233,0.0280419210593254,0.0246078847610286,0.0345947734444918,0.112351633683054,0.138299048750629,0.08020434292354
"APW2",0.557169,-79.183546,128,"Pasture","F_Past",5.200398337,0.443247355,124.9219099,0.582747686,0.359663212,0.437123723,0.139184631,0.738414559,-0.0789153720868251,-0.08809256579862,-0.118232474379154,-0.00598595618394046,-0.020868523864712,-0.0369841288976312,-0.0621935990234829,-0.0281885867418129,-0.0958637797190878
"PR25",0.495578432,-79.17639714,544,"P_Reg_I","F_PReg1",5.219882167,0.421968344,204.5319723,0.676472982,0.412110458,0.476783083,0.13012925,1.176168775,-0.175814272195893,-0.188585607599891,-0.232032391066392,-0.0347287891270931,-0.0367725087171393,-0.0556887788903229,-0.128625962414133,-0.0673048831250447,-0.13105468298052
"PR36",0.516520282,-79.1430608,380,"P_Reg_I","F_PReg1",5.194482195,0.436698554,128.0548173,0.612672352,0.494723495,0.440355937,0.061686301,0.897681052,0.112266594830583,0.128272243428365,0.16135619225344,0.0360541126661284,0.0298342007928886,0.0319310845345096,0.121271247552412,0.12766108946522,0.139202416283134
"CR17",0.514731333,-79.14412027,450,"C_Reg_I","F_CReg1",5.201614688,0.426556035,122.2327765,0.570029122,0.467944013,0.439397584,0.120001974,0.671995908,0.123865911897604,0.151851933389678,0.203730780030453,0.0325920016486096,0.0479193381188697,0.065161036223104,0.116207489402403,0.0460165788825634,0.24812650490707
"CR02",0.501487004,-79.22595296,400,"C_Reg_I","F_CReg1",5.168658456,0.457600148,423.6098771,0.728173405,0.510436138,0.438352915,0.054426089,0.916830446,0.17311293103943,0.125765304652381,0.143383908690067,0.0252432898369792,0.047797892492504,0.0683586514597965,0.0881437541402737,0.210291990446623,0.0633684641929262
"CA59",0.557309976,-79.179868,350,"Cacao","F_Caca",5.099873868,0.488441302,406.7010513,0.716965448,0.447732428,0.47005889,0.070080333,1.265051463,-0.216620305704101,-0.281577209556841,-0.341061269226551,-0.0488002744355193,-0.0748854754739927,-0.100458068386138,-0.173975706393474,-0.131724047585537,-0.232194871874901
"CA60",0.510266,-79.2272,440,"Cacao","F_Caca",5.238046935,0.409967067,341.049288,0.807146345,0.468299704,0.504418718,0.081823491,1.22109375,-0.101063728419539,-0.144269345918402,-0.180927891046973,-0.0322164633082481,-0.0458845254090929,-0.0644784673847609,-0.0625637656076707,-0.0112024289538728,-0.10809952405772
"CR03",0.508255139,-79.23685488,250,"C_Reg_I","F_CReg1",5.193745698,0.435346451,448.8283127,0.762208484,0.503033538,0.445681367,0.072946726,1.636154514,-0.0310625181116558,-0.0245904448426461,-0.0278832620453498,-0.00835230646016925,-0.00926929458252109,-0.0172143691459077,-0.0192692397191954,0.0645394635282234,-0.0368451174250526
"CR13",0.488968967,-79.22612546,311,"C_Reg_I","F_CReg1",5.191864569,0.436827422,299.1789309,0.714596479,0.464745582,0.438141937,0.042802606,0.669250801,0.191140620388973,0.161422228259381,0.183748590069392,0.0385063649258927,0.074723910879509,0.105552210351593,0.153020901170409,0.0320163423467718,0.170709672564866
"CR14",0.498159975,-79.13848336,529,"C_Reg_II","F_CReg2",5.29606556,0.376115361,322.8952596,0.879183815,0.494570865,0.436408959,0.041451273,0.661647445,0.270603493261649,0.312153013442005,0.398664380443083,0.0830893767753709,0.14399884694126,0.255262369513561,0.262365732727524,-0.0151129594977454,0.379276996093942
"CR18",0.541664,-79.144756,270,"C_Reg_I","F_CReg1",5.241398949,0.408637021,371.7547636,0.779679071,0.437509449,0.442653085,0.046292898,0.663178943,0.0205606454630997,0.0550435233081424,0.0632037894356494,0.0333974036455426,0.023967246923323,0.0277498024989076,0.00620871964654543,0.0940427036386554,0.0244330717830885
"OG41",0.52989604,-79.18850798,389,"Oldgrowth","F_Old",5.278762851,0.382898657,363.8393378,0.841602144,0.476571382,0.42812116,0.032542554,0.305180432,0.14737006295159,0.17118323906659,0.23402587347377,0.0129952564544918,0.0226808901413495,0.0257154809072569,0.119380421015845,0.136186350817626,0.107333889979945
"OG44",0.474365344,-79.19811012,339,"Oldgrowth","F_Old",5.243415204,0.406287283,356.2961888,0.848234631,0.513064355,0.435052334,0.043621987,0.869391741,0.21785954115876,0.234035591973375,0.271861025771822,0.0119702051966504,0.0288207272751241,0.0418079811979122,0.0869315703137828,0.159681998204735,0.113641878521216
"OG49",0.531383995,-79.14797897,310,"Oldgrowth","F_Old",5.245368854,0.407784749,340.3765362,0.822896322,0.469989514,0.427736499,0.042618525,0.620588418,0.196458533758165,0.20768948904,0.262855506753009,0.0231855239819476,0.0338346437338708,0.0492058437720983,0.0934347347293604,0.139701556208464,0.130714437692163
"OG51",0.552252671,-79.13747267,228,"Oldgrowth","F_Old",5.245649609,0.413400613,436.4328807,0.859526135,0.545613342,0.433808699,0.043728034,1.219137525,0.198322304676418,0.191872284457693,0.212587471348216,0.0247664188341741,0.0265990327215906,0.0274372646657682,0.124388890580177,0.144768305350192,0.0757421864931561
"OG52",0.54574253,-79.13757074,225,"Oldgrowth","F_Old",5.053610342,0.52425911,118.0313591,0.513727097,0.451881994,0.417799023,0.01654899,0.338932292,0.322132093653297,0.410293778848142,0.486444884636591,0.123581304165638,0.19610326114401,0.325731747922455,0.253996193258475,-0.185847328134456,0.412353245478345
"PA53",0.495852018,-79.20737699,510,"Pasture","F_Past",5.288283459,0.38367321,554.2072395,0.901024228,0.43840968,0.449616973,0.091867739,1.430905878,-0.0456832839320859,-0.0100942388428995,0.00172111567375901,-0.0188546818840685,-0.00680230774626477,-0.00961691374421364,-0.0466077029802371,0.0198306659871024,0.0245987062661401
"PA55",0.497629149,-79.22451722,350,"Pasture","F_Past",5.287517393,0.379253477,489.0571614,0.888916016,0.426194605,0.440595985,0.10590052,1.23125,-0.0642608552856223,-0.0803647938196327,-0.0665172331946668,-0.0235728178481995,-0.0257802312369488,-0.0325391747114655,0.00406598259982549,0.0507145113117451,-0.0138545147634195
"PA56",0.511023,-79.228523,430,"Pasture","F_Past",5.250663342,0.408564678,499.641002,0.857660203,0.45446327,0.470706217,0.084854179,1.633956473,-0.129344624674369,-0.164288024743169,-0.196486840037573,-0.0426563065745643,-0.04591183555039,-0.0598665561048812,-0.113416758377004,-0.0645501001958188,-0.163029627094203
"PR23",0.510838861,-79.23202079,415,"P_Reg_I","F_PReg1",5.286282564,0.376796166,470.3695375,0.846973238,0.421797764,0.475423798,0.076197386,0.985267857,-0.189836399932567,-0.148092611862154,-0.1061733496407,0.0184440931115687,0.0112051317001878,0.0129805161711712,-0.122941925325354,-0.0529517191764232,0.00946488372352332
"PR29",0.472908653,-79.23061581,173,"P_Reg_I","F_PReg1",5.139601611,0.473355832,482.6459705,0.725684533,0.421475668,0.434427527,0.078625736,1.1746461,-0.0995578193002475,-0.084381410787441,-0.0943508498069275,-0.0225502292675214,-0.0188049823676238,-0.0208654005576013,-0.051190613194115,0.0273525613503904,-0.0543775678506688
"PR30",0.475033466,-79.22911587,219,"P_Reg_I","F_PReg1",5.119048347,0.486464676,496.1370365,0.73723348,0.540498385,0.443373116,0.063958094,1.365423487,0.108224446703333,0.091279811721181,0.0817044170693101,0.0128036774270959,0.00605362328766295,-0.00480866487873324,0.0811680189115695,0.089394496050186,0.0158292628841394
"PR33",0.489268117,-79.22841179,311,"P_Reg_I","F_PReg1",5.2342496,0.400227812,418.6152372,0.780372033,0.40156259,0.459756756,0.081072234,1.37436899,-0.0546876498226317,-0.0656324614715387,-0.110868211680705,-0.0359444175572746,-0.0192931167034733,-0.0297048240987419,-0.0964766119539484,-0.0292656334053415,-0.0690871196620477
"PR34",0.49351112,-79.13792672,615,"P_Reg_II","F_PReg2",5.254484936,0.389312054,405.5947092,0.876437233,0.412576848,0.455890945,0.061061988,0.785205853,0.191617004785102,0.22498727270316,0.289846131070635,0.0300256052085099,0.0432661171954533,0.0546940194502043,0.278522811393958,0.00802288697802729,0.224449886514868
"CR04",0.51173321,-79.18950979,560,"C_Reg_II","F_CReg2",5.259735733,0.399676757,537.4899159,0.903257824,0.432101403,0.445422186,0.067278069,0.641539559,0.126886362688681,0.209254673911042,0.243142100490955,0.0266413652048334,0.0523668293087754,0.0679174515143408,0.0532174222900624,0.0726258614548288,0.146301626700932
"OG39",0.521560907,-79.19537184,576,"Oldgrowth","F_Old",5.280976406,0.37602642,504.3141204,0.874036516,0.50018237,0.439897777,0.076780754,1.110267857,0.277474599307201,0.261651456679757,0.279415731900182,0.0395306376663904,0.0392980703542864,0.0392299527283128,0.187405784934233,0.0817937993338501,0.197482959725125
"PR20",0.496644,-79.171518,540,"P_Reg_I","F_PReg1",5.277312465,0.381122485,487.1471181,0.871879941,0.482827111,0.462957283,0.080499469,1.441734871,-0.225975508060473,-0.235753090114795,-0.289374170696698,-0.0328314972278008,-0.0637942070474956,-0.0887475237175865,-0.0955979671339243,-0.13077787503794,-0.168207154200006
"PAZ07",0.390332,-79.254313,172,"PA_M","A_Past",5.173666927,0.455886048,432.3686482,0.749180385,0.445520609,0.504914712,0.066874917,1.191071429,-0.476448435146851,-0.431442633447548,-0.436045104624096,-0.102060626620309,-0.108900519489211,-0.135611688864596,-0.367771731201527,-0.18383445574527,-0.0825792033817049
"CAZ01",0.412866,-79.259515,150,"CA_M","A_Caca",5.221409594,0.417751686,456.9790638,0.810969761,0.456330034,0.459254328,0.063778547,1.811945064,-0.417158845754291,-0.400942085244465,-0.40657869156662,-0.0617299587325622,-0.0701054012641484,-0.0914802659987007,-0.291586876633255,-0.194499017905036,-0.26233630855609
"CAZ05",0.426547,-79.24618,160,"CA_M","A_Caca",5.214712139,0.417980454,421.2068614,0.815080915,0.505584578,0.464182908,0.044938417,1.020377604,-0.364299636821024,-0.363611960082385,-0.440143192468962,-0.0111563211981872,-0.0273894232855076,-0.0663127174421924,-0.359797434468419,-0.233405802052388,-0.28658419263722
"CAZ07",0.399314,-79.25305,170,"CA_M","A_Caca",5.219186448,0.420005003,425.0570854,0.780941918,0.417623598,0.464405529,0.057654137,0.773412698,-0.414350755430389,-0.393941751901476,-0.392748344222827,-0.0682249580167354,-0.0934625776992939,-0.124877287569698,-0.333638674017229,-0.222997819627273,-0.314098502851937
"CAZ12",0.421661,-79.235676,167,"CA_M","A_Caca",5.2232677,0.419996457,415.2054911,0.798877534,0.430856086,0.474372638,0.048537789,0.983330233,-0.473610572429913,-0.482797951884951,-0.489706799303226,-0.106634064261702,-0.116259417329214,-0.138083628642752,-0.379376758086934,-0.270803593941658,-0.393922860700982
"CAZ14",0.41128,-79.265714,148,"CA_M","A_Caca",5.152284256,0.456807667,433.6275372,0.756431943,0.473238558,0.454130112,0.072700002,1.595079985,-0.371426714878442,-0.392944436879714,-0.417849833943216,-0.0903845342837259,-0.0982170681086152,-0.119397385860039,-0.335151043272374,-0.237060730376098,-0.350116181172704
"CAZ17",0.407272,-79.2509,163,"CA_M","A_Caca",5.227775793,0.407774247,466.1567818,0.813944499,0.43686099,0.485362045,0.097457261,1.557986111,-0.351776329367548,-0.378152614501385,-0.430142963658764,-0.0812772101353847,-0.104043165130244,-0.136401367334729,-0.316548961944643,-0.207820853223295,-0.280878679569703
"OGZ04",0.409508,-79.253342,160,"OG_M","A_Old",5.154506652,0.466715695,370.6441043,0.729602632,0.433870283,0.440084064,0.038960588,0.957130456,-0.00221627534025688,-0.0884343131849773,-0.172587839190153,-0.0153430649437222,-0.0263908719662762,-0.0428655685395296,-0.0256829271101771,-0.0663371406887776,-0.198498761401739
"OGZ09",0.395029,-79.25339,170,"OG_M","A_Old",5.212150501,0.431237732,244.5543288,0.633533296,0.479267394,0.431166862,0.028804686,0.752759177,-0.132738189047378,-0.101443502215915,-0.107772381498305,0.000842389125989084,-0.00892520126927308,-0.00894974605347858,-0.0752702016386309,-0.0800827196792819,-0.0922354813289353
"OGZ10",0.433639,-79.235779,165,"OG_M","A_Old",5.198501186,0.43580552,357.0446583,0.776749384,0.453501523,0.43775491,0.041873139,0.755719866,0.094991951523779,0.0645466071473028,0.0733548906956807,-0.00531784922163713,-0.000797189991494536,0.00227426869128293,0.058602575029043,0.0761503838822122,-0.00174656911358212
"OGZ13",0.423632,-79.261471,145,"OG_M","A_Old",5.190047633,0.441057923,355.3624656,0.786311558,0.558957198,0.438024092,0.03832922,1.030555556,-0.114209092405421,-0.0763952227926195,-0.0647744832004291,-0.02272797068825,-0.0154881622332182,-0.0194321531457739,-0.104720508597534,0.00394071515670817,-0.0708127948067902
"OGZ20",0.461047,-79.1438,172,"OG_M","A_Old",5.230548264,0.408346123,435.4315596,0.840923491,0.454080344,0.438438312,0.041551097,0.870588418,-0.0862075189156601,-0.0367131946287432,-0.0270365420039257,-0.00518250589948328,-0.0112699595120492,-0.0158362305419603,-0.0537356921734702,0.0504768244890394,-0.0263046786665486
"OGZ21",0.377547,-79.155161,170,"OG_M","A_Old",5.236903316,0.411992106,422.6668169,0.864002046,0.548493772,0.453277936,0.047887667,1.902551463,0.0655436144571776,0.117772493865881,0.17193853216735,0.0198595176371433,0.0674079581181533,0.114824279823327,0.00506161444922783,0.0413363254341336,0.164912735257382
"OGZ22",0.466516,-79.098848,180,"OG_M","A_Old",5.210437781,0.424652695,370.0212575,0.799038842,0.503329859,0.444055565,0.051697682,1.084316096,-0.0487071114667633,0.0788570501307536,0.146502718489805,0.0546561423957207,0.0568283037239462,0.0929355454427785,-0.0236460064527507,0.000335371223289561,0.0749038696718365
"OGZ23",0.456369,-79.114619,180,"OG_M","A_Old",5.195745957,0.437608535,443.0342141,0.825717018,0.518638889,0.443775579,0.046701625,1.246906002,-0.028230976277973,0.0580485121365206,0.129075290950252,0.00720777050665546,0.0360892870927922,0.0698762963454131,-0.0327337561071272,0.0339342260342866,0.037708535383739
