"SoundIndices";"Diversity";"Estimates";"pValue";"SignificanceCode";"Rsquared";"Ftest"
"dis_TemporalEntropy_s";"FD_q2";0,0295028458712526;0,018;"*";0,11402965854793;57,2902380433616
"dis_EventsPerSecond_s";"FD_q2";0,026768226897775;0,025;"*";0,11402965854793;57,2902380433616
"Int";"PD_q0";0,125249202188149;1;" ";0,236038895237117;137,52900846311
"dis_AcousticDiversity_s";"PD_q0";0,0112217808305877;0,654;" ";0,236038895237117;137,52900846311
"dis_AcousticEveness_s";"PD_q0";0,0124297346787877;0,578;" ";0,236038895237117;137,52900846311
"dis_BioAcoustic_s";"PD_q0";0,0230744110707117;0,001;"***";0,236038895237117;137,52900846311
"dis_SoundscapeSaturation_s";"PD_q0";-0,014532614854971;0,09;".";0,236038895237117;137,52900846311
"dis_EntropyOfVarianceSpectrum_s";"PD_q0";0,00705814458675949;0,326;" ";0,236038895237117;137,52900846311
"dis_AcousticComplexity_s";"PD_q0";0,0560457376974007;0,001;"***";0,236038895237117;137,52900846311
"dis_TemporalEntropy_s";"PD_q0";0,0229549148679503;0,005;"**";0,236038895237117;137,52900846311
"dis_EventsPerSecond_s";"PD_q0";0,0185266972987188;0,012;"*";0,236038895237117;137,52900846311
"Int";"PD_q1";0,0844394887319204;1;" ";0,158327167756411;83,7325120257372
"dis_AcousticDiversity_s";"PD_q1";0,0108783278920223;0,601;" ";0,158327167756411;83,7325120257372
"dis_AcousticEveness_s";"PD_q1";0,0124929077443738;0,517;" ";0,158327167756411;83,7325120257372
"dis_BioAcoustic_s";"PD_q1";0,00381572816999694;0,497;" ";0,158327167756411;83,7325120257372
"dis_SoundscapeSaturation_s";"PD_q1";-0,0012449884649351;0,893;" ";0,158327167756411;83,7325120257372
"dis_EntropyOfVarianceSpectrum_s";"PD_q1";0,00796608565008352;0,281;" ";0,158327167756411;83,7325120257372
"dis_AcousticComplexity_s";"PD_q1";0,0339757715518676;0,003;"**";0,158327167756411;83,7325120257372
"dis_TemporalEntropy_s";"PD_q1";0,0213773254111954;0,021;"*";0,158327167756411;83,7325120257372
"dis_EventsPerSecond_s";"PD_q1";0,0215112290450881;0,005;"**";0,158327167756411;83,7325120257372
"Int";"PD_q2";0,0672170538293712;1;" ";0,0919733741755077;45,0863961645392
"dis_AcousticDiversity_s";"PD_q2";0,0236895465412616;0,449;" ";0,0919733741755077;45,0863961645392
"dis_AcousticEveness_s";"PD_q2";0,00476507306541769;0,88;" ";0,0919733741755077;45,0863961645392
"dis_BioAcoustic_s";"PD_q2";-0,0122330823450552;0,165;" ";0,0919733741755077;45,0863961645392
"dis_SoundscapeSaturation_s";"PD_q2";0,00607906769013924;0,648;" ";0,0919733741755077;45,0863961645392
"dis_EntropyOfVarianceSpectrum_s";"PD_q2";0,0131248461275287;0,275;" ";0,0919733741755077;45,0863961645392
"dis_AcousticComplexity_s";"PD_q2";0,028398903891122;0,039;"*";0,0919733741755077;45,0863961645392
"dis_TemporalEntropy_s";"PD_q2";0,0271249995887557;0,031;"*";0,0919733741755077;45,0863961645392
"dis_EventsPerSecond_s";"PD_q2";0,0293352924579155;0,02;"*";0,0919733741755077;45,0863961645392
